"Timestamp","Gender","Age","Current Location","Who do you usually travel with?","How would you rate this place (Resort)","How would you rate this place (Beaches)","How would you rate this place (Parks)","How would you rate this place (Museum)","How would you rate this place (Malls)","How would you rate this place (Zoo)","How would you rate this place (Bar)","How would you rate this place (Art Gallery)","How would you rate this place (Night Club)","How would you rate this place (Beauty and Spa)","How would you rate this place (Cafe)","How would you rate this place (Mountain)","How would you rate this place (Monument/Temple/Others.)"
"2021/11/22 8:18:25 pm GMT","Male","18-24","Coventry ","Family","4","4","3","2","4","3","4","3","5","4","3","5","3"
"2021/11/22 8:18:38 pm GMT","Male","18-24","Coventry","Friends","4","5","3","3","3","1","4","4","4","3","4","2","3"
"2021/11/22 8:19:03 pm GMT","Female","25-29","Uk","Family","4","4","4","4","3","5","2","3","3","2","4","3","4"
"2021/11/22 8:19:08 pm GMT","Male","18-24","Coventry","Family","3","4","2","4","4","2","3","4","2","3","4","4","2"
"2021/11/22 8:19:22 pm GMT","Female","18-24","UK","Family","5","5","2","5","4","5","2","4","0","5","3","2","4"
"2021/11/22 8:19:29 pm GMT","Male","18-24","Coventry","Family","4","2","4","4","3","4","4","5","1","5","3","5","0"
"2021/11/22 8:19:51 pm GMT","Male","18-24","Coventry, England","Alone","5","5","2","2","5","3","3","2","1","3","2","5","2"
"2021/11/22 8:19:52 pm GMT","Male","18-24","Coventry ","Family","4","4","4","3","4","4","3","4","2","3","4","5","4"
"2021/11/22 8:21:27 pm GMT","Female","18-24","warwick","Family","2","5","5","5","4","2","5","5","4","5","5","5","4"
"2021/11/22 8:21:48 pm GMT","Female","18-24","Uk","Friends","3","5","2","3","2","1","3","4","3","2","4","2","1"
"2021/11/22 8:22:11 pm GMT","Female","18-24","UK","Family","4","4","2","3","4","4","4","4","4","5","3","4","4"
"2021/11/22 8:27:29 pm GMT","Female","25-29","Coventry","Friends","2","4","0","3","5","5","3","3","2","5","5","5","3"
"2021/11/22 8:28:20 pm GMT","Male","25-29","UK","Lover","4","4","3","4","3","2","3","4","3","2","2","3","4"
"2021/11/22 8:31:04 pm GMT","Female","Less Than 18","UK","Family","2","2","3","4","2","1","3","4","0","4","5","5","3"
"2021/11/22 8:32:11 pm GMT","Male","18-24","Coventry","Family","5","5","2","0","3","5","3","0","5","3","3","5","2"
"2021/11/22 8:32:36 pm GMT","Female","18-24","UK","Family","5","5","4","3","3","3","3","4","1","4","2","2","4"
"2021/11/22 8:33:04 pm GMT","Female","25-29","Coventry ","Friends","4","4","4","5","3","1","3","3","0","2","4","5","3"
"2021/11/22 8:33:15 pm GMT","Male","25-29","Uk","Friends","4","4","2","0","3","0","5","3","5","5","4","3","2"
"2021/11/22 8:35:19 pm GMT","Male","18-24","Coventry","Family","5","5","5","4","5","5","5","4","2","4","3","3","2"
"2021/11/22 8:41:10 pm GMT","Female","18-24","Coventry, UK","Family","5","5","4","3","3","2","2","3","0","4","5","4","2"
"2021/11/22 8:46:55 pm GMT","Male","18-24","Coventry","Family","3","5","2","3","4","3","5","3","4","5","5","5","3"
"2021/11/22 8:48:02 pm GMT","Female","18-24","UK","Friends","4","4","3","3","4","3","4","3","3","3","4","4","3"
"2021/11/22 8:49:09 pm GMT","Female","25-29","UK","Family","4","5","3","2","3","2","3","3","3","4","4","5","3"
"2021/11/22 8:56:04 pm GMT","Female","18-24","Coventry","Family","3","3","3","3","3","3","3","3","2","4","2","3","4"
"2021/11/22 9:18:19 pm GMT","Male","18-24","London","Alone","4","4","5","5","3","4","5","5","4","5","3","5","4"
"2021/11/22 9:19:08 pm GMT","Female","18-24","University of Warwick","Friends","3","4","3","0","4","3","5","3","5","4","5","4","0"
"2021/11/22 9:34:52 pm GMT","Male","18-24","Coventry, UK","Family","4","5","3","1","5","3","5","1","3","3","4","5","1"
"2021/11/22 9:46:59 pm GMT","Male","18-24","England","Family","4","3","3","3","4","2","4","2","3","1","4","4","1"
"2021/11/22 10:23:55 pm GMT","Male","18-24","Leamington Spa","Friends","4","5","4","4","5","5","4","4","4","4","3","5","4"
"2021/11/22 10:33:15 pm GMT","Female","18-24","UK (Leamington Spa)","Friends","5","5","3","2","3","2","5","3","4","4","4","3","3"
"2021/11/22 10:43:09 pm GMT","Male","18-24","Oxford ","Friends","4","5","2","1","2","2","4","2","3","4","2","3","3"
"2021/11/22 10:49:31 pm GMT","Male","18-24","UK","Friends","4","4","4","3","4","4","4","4","2","3","4","4","4"
"2021/11/23 12:27:46 am GMT","Male","18-24","Thailand","Family","5","5","2","2","0","3","4","1","5","4","2","3","4"
"2021/11/23 12:28:23 am GMT","Male","18-24","Guildford ","Friends","4","3","1","1","2","1","3","3","5","5","5","3","5"
"2021/11/23 12:44:35 am GMT","Female","18-24","Thailand","Friends","4","3","3","4","2","3","4","5","4","5","2","5","3"
"2021/11/23 12:49:45 am GMT","Male","18-24","Japan","Friends","3","5","3","4","3","0","3","4","2","4","3","5","5"
"2021/11/23 1:09:47 am GMT","Male","18-24","Japan","Friends","0","0","3","3","0","0","2","3","0","3","1","3","2"
"2021/11/23 1:55:09 am GMT","Female","18-24","Thailand ","Lover","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2021/11/23 2:21:54 am GMT","Male","18-24","Japan","Family","4","5","3","3","3","5","5","4","3","4","4","5","2"
"2021/11/23 4:07:23 am GMT","Male","18-24","Bkk Thailand ","Friends","5","5","3","5","3","4","2","5","0","5","5","5","4"
"2021/11/23 6:37:44 am GMT","Male","18-24","Thailand","Friends","3","1","1","1","1","0","3","3","0","2","2","2","0"
"2021/11/23 8:35:33 am GMT","Male","30-40","engineer","Friends","5","5","4","3","4","4","4","4","3","3","3","4","4"
"2021/11/23 8:47:20 am GMT","Female","More than 55","Thailand","Family","5","5","5","4","2","0","3","1","0","1","4","4","4"
"2021/11/23 9:33:31 am GMT","Female","18-24","Thailand","Family","3","4","3","2","3","3","3","2","3","3","3","3","3"
"2021/11/23 11:00:57 am GMT","Female","18-24","Thailand","Friends","4","4","3","0","2","1","5","0","1","5","2","5","5"
"2021/11/23 12:36:20 pm GMT","Female","18-24","Thailand","Family","4","4","4","3","4","5","4","4","4","5","4","4","3"
"2021/11/23 1:01:49 pm GMT","Male","18-24","Thailand","Family","5","5","1","4","3","1","4","3","5","0","4","4","0"
"2021/11/23 1:29:35 pm GMT","Female","30-40","Thailand","Family","5","5","3","5","4","3","3","4","0","4","4","2","4"
"2021/11/23 1:35:46 pm GMT","Male","More than 55","Thailand","Family","5","5","4","4","3","3","2","4","0","4","3","4","3"
"2021/11/23 1:47:55 pm GMT","Female","More than 55","Thailand","Family","5","5","5","4","5","5","4","4","3","5","5","4","5"
"2021/11/23 2:23:39 pm GMT","Female","18-24","Thailand","Family","4","5","4","4","4","4","4","4","4","5","4","5","4"
"2021/11/23 3:00:11 pm GMT","Female","25-29","Thailand","Friends","4","5","3","3","1","3","2","4","0","5","2","5","1"
"2021/11/23 3:16:31 pm GMT","Female","More than 55","Thailand","Family","5","5","4","4","4","4","2","3","1","5","5","3","3"
"2021/11/23 3:18:40 pm GMT","Female","30-40","Thailand","Family","5","5","5","5","4","5","3","5","0","5","5","5","3"
"2021/11/23 3:30:07 pm GMT","Male","30-40","Thailand","Alone","4","2","3","3","4","3","2","2","1","3","4","5","4"
"2021/11/23 4:15:55 pm GMT","Female","18-24","India ","Family","2","3","3","4","4","4","2","2","4","4","3","3","3"
"2021/11/23 4:32:46 pm GMT","Female","25-29","Thailand","Friends","3","4","3","1","4","2","4","4","2","4","3","3","3"
"2021/11/23 4:45:11 pm GMT","Female","18-24","UK","Family","5","4","3","4","5","2","4","5","3","3","4","5","0"
"2021/11/23 8:35:59 pm GMT","Male","18-24","Thailand","Alone","4","4","5","5","4","5","3","3","3","3","4","4","5"
"2021/11/23 10:59:41 pm GMT","Female","18-24","UK","Friends","5","5","3","3","3","1","4","2","4","3","3","3","3"
"2021/11/24 2:41:30 am GMT","Male","More than 55","Thailand","Lover","4","4","4","3","3","4","2","4","2","4","3","4","3"
"2021/11/24 3:34:12 am GMT","Female","18-24","Thailand","Family","4","5","2","4","4","3","4","4","4","4","3","2","1"
"2021/11/24 5:22:42 am GMT","Bisexual","18-24","Thailand","Family","3","4","3","5","3","5","2","4","2","3","3","5","4"
"2021/11/24 6:31:29 am GMT","Female","25-29","Thailand","Lover","5","5","4","4","2","0","3","4","4","4","4","3","4"
"2021/11/24 6:40:13 am GMT","Female","41-55","Thailand","Friends","5","5","5","5","5","5","5","5","3","5","5","5","5"
"2021/11/24 7:08:29 am GMT","Female","More than 55","Thailand","Friends","4","5","5","3","3","3","2","4","2","5","5","5","4"
"2021/11/24 7:54:33 am GMT","Male","More than 55","Thailand","Family","5","5","3","3","3","3","4","3","2","4","3","4","2"
"2021/11/24 8:09:23 am GMT","Female","18-24","Thailand","Family","4","3","5","3","2","3","4","4","3","5","3","5","3"
"2021/11/24 8:19:49 am GMT","Male","More than 55","Thailand","Family","3","3","3","4","3","4","2","3","0","1","3","3","5"
"2021/11/24 8:29:54 am GMT","Male","More than 55","Thailand","Family","4","4","4","3","3","3","4","3","0","1","3","4","3"
"2021/11/24 8:42:16 am GMT","Male","More than 55","Thailand","Friends","5","5","5","5","5","5","5","4","2","3","5","4","5"
"2021/11/24 8:44:45 am GMT","Female","25-29","Thailand","Family","4","4","4","5","5","3","0","4","0","3","5","2","4"
"2021/11/24 8:54:54 am GMT","Male","More than 55","Thailand","Family","5","5","5","3","3","3","3","3","2","2","3","5","3"
"2021/11/24 9:01:58 am GMT","Female","More than 55","Thailand","Family","5","5","4","3","2","2","1","1","1","3","3","3","4"
"2021/11/24 9:24:12 am GMT","Female","More than 55","Thailand","Alone","5","3","5","5","4","3","1","2","0","5","5","0","5"
"2021/11/24 9:40:59 am GMT","Female","18-24","Thailand","Friends","4","5","3","5","4","5","3","5","3","5","3","4","3"
"2021/11/24 10:33:22 am GMT","Female","More than 55","Thailand","Family","5","5","4","2","1","3","3","2","0","3","2","4","2"
"2021/11/24 2:39:45 pm GMT","Female","18-24","Thailand","Family","3","5","4","5","5","3","5","5","5","3","4","5","5"
"2021/11/24 2:56:12 pm GMT","Female","41-55","Thailand","Family","3","5","2","4","4","1","2","1","1","4","2","2","3"
"2021/11/24 3:29:48 pm GMT","Female","More than 55","Thailand","Family","3","4","4","4","3","4","2","3","1","4","3","4","4"
"2021/11/25 2:29:21 am GMT","Female","More than 55","Thailand","Family","4","4","4","5","2","2","3","5","3","3","3","5","4"
"2021/11/25 1:21:10 pm GMT","Female","18-24","Thailand","Friends","3","3","3","4","0","3","3","5","3","3","1","4","5"
"2021/11/27 2:22:25 pm GMT","Female","18-24","Thailand","Family","4","5","5","5","3","5","3","5","3","4","5","5","4"
"2021/11/27 6:30:24 pm GMT","Female","18-24","UK","Family","4","5","3","1","5","3","4","2","2","4","3","4","3"
"2021/12/09 1:10:08 pm GMT","Male","18-24","Thailand","Alone","3","2","4","3","2","3","4","4","2","2","4","5","5"
"2021/12/09 1:10:37 pm GMT","Female","Less Than 18","Thailand","Friends","5","5","3","2","3","4","4","2","4","3","5","3","3"
